               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
0,6.6085,57.523,4.3206,0,0,0,0,0,0,0,0.070566,0.0032704,0.0032704
1,6.5111,56.418,4.1938,0,0,0,0,0,0,0,0.040544,0.006582,0.006582
2,6.0887,47.817,3.9691,0,0,0,0,0,0,0,0.0105,0.0098715,0.0098715
3,6.0401,31.963,4.0674,0,0,0,0,0,0,0,0.009901,0.009901,0.009901
4,6.2137,14.403,4.0184,0,0,0,0,0,0,0,0.009901,0.009901,0.009901
5,5.4393,6.9092,3.5051,0,0,0,0,0,0,0,0.009868,0.009868,0.009868
6,5.9415,6.2264,3.8676,0,0,0,0,0,0,0,0.009835,0.009835,0.009835
7,5.8865,6.0158,3.7837,0,0,0,0,0,0,0,0.009802,0.009802,0.009802
8,6.0405,5.8859,3.7808,0,0,0,0,0,0,0,0.009769,0.009769,0.009769
9,5.9233,6.2152,3.7488,0,0,0,0,0,0,0,0.009736,0.009736,0.009736
10,5.3583,5.7507,3.3173,0,0,0,0,0,0,0,0.009703,0.009703,0.009703
11,4.9082,5.3309,3.0521,0.00066802,0.052381,0.00040312,          7.6307e-05,0,0,0,0.00967,0.00967,0.00967
12,4.8157,5.168,2.9885,0.0014401,0.23333,0.0033747,0.00078855,0,0,0,0.009637,0.009637,0.009637
13,4.5509,5.0977,2.7257,0.0010239,0.22063,0.001755,0.00040801,0,0,0,0.009604,0.009604,0.009604
14,4.4853,4.98,2.547,0.0012347,0.32698,0.005695,0.0011401,0,0,0,0.009571,0.009571,0.009571
15,4.3064,4.7209,2.48,0.0017218,0.19365,0.0049417,0.0013105,0,0,0,0.009538,0.009538,0.009538
16,4.1751,4.8159,2.4843,0.1389,0.21492,0.011711,0.0032807,0,0,0,0.009505,0.009505,0.009505
17,4.1751,4.7809,2.3997,0.0386828,0.44349,0.026559,0.0050796,0,0,0,0.009472,0.009472,0.009472
18,4.0202,4.553,2.365,0.083206,0.276825,0.048798,0.010167,0,0,0,0.009439,0.009439,0.009439
19,4.0091,4.5211,2.3073,0.0336546,0.52921,0.024226,0.005573,0,0,0,0.009406,0.009406,0.009406
20,3.767,4.2741,2.2568,0.24066,0.37048,0.13527,0.03663,0,0,0,0.009373,0.009373,0.009373
21,3.6548,4.1424,2.0616,0.19887,0.31175,0.10528,0.026054,0,0,0,0.00934,0.00934,0.00934
