               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
0,5.7925,5.6868,3.9787,0.013242,0.053351,0.0081261,0.0028012,0,0,0,0.070019,0.0033313,0.0033313
1,3.5408,3.2055,2.1011,0.19401,0.16463,0.077635,0.035997,0,0,0,0.039997,0.0066426,0.0066426
2,2.973,2.7029,1.7317,0.26672,0.17281,0.099984,0.048841,0,0,0,0.0099526,0.009932,0.009932
3,2.6843,2.409,1.5869,0.31062,0.20364,0.16792,0.06766,0,0,0,0.009901,0.009901,0.009901
4,2.4764,2.1952,1.5009,0.29838,0.23884,0.19773,0.084268,0,0,0,0.009901,0.009901,0.009901
5,2.3604,2.0285,1.4445,0.30063,0.25134,0.21074,0.124478,0,0,0,0.009868,0.009868,0.009868
6,2.271,1.9248,1.4128,0.33074,0.26056,0.23151,0.13531,0,0,0,0.009835,0.009835,0.009835
7,2.2142,1.8492,1.394,0.36772,0.28015,0.25515,0.14824,0,0,0,0.009802,0.009802,0.009802
8,2.1561,1.7825,1.3643,0.38209,0.29391,0.27183,0.15885,0,0,0,0.009769,0.009769,0.009769
9,2.1228,1.7335,1.3567,0.40183,0.29881,0.28308,0.16607,0,0,0,0.009736,0.009736,0.009736
10,2.0891,1.6979,1.3449,0.43333,0.30615,0.29458,0.17291,0,0,0,0.009703,0.009703,0.009703
11,2.0531,1.6474,1.3388,0.42472,0.30851,0.30064,0.17878,0,0,0,0.00967,0.00967,0.00967
12,2.0218,1.6181,1.3306,0.42207,0.32781,0.30811,0.18302,0,0,0,0.009637,0.009637,0.009637
13,1.9988,1.5941,1.3205,0.43923,0.32425,0.3148,0.18763,0,0,0,0.009604,0.009604,0.009604
14,1.9856,1.5754,1.316,0.45501,0.32811,0.32283,0.19382,0,0,0,0.009571,0.009571,0.009571
15,1.9552,1.5315,1.3022,0.45262,0.3365,0.32841,0.19637,0,0,0,0.009538,0.009538,0.009538
16,1.9444,1.5137,1.2958,0.45941,0.34871,0.33582,0.19872,0,0,0,0.009505,0.009505,0.009505
17,1.9332,1.5082,1.2968,0.457,0.3492,0.34198,0.20583,0,0,0,0.009472,0.009472,0.009472
18,1.9179,1.4864,1.2924,0.47179,0.3596,0.34971,0.20926,0,0,0,0.009439,0.009439,0.009439
19,1.8985,1.4652,1.2877,0.47934,0.35418,0.3537,0.21399,0,0,0,0.009406,0.009406,0.009406
20,1.9009,1.4642,1.2853,0.47333,0.36253,0.35475,0.2131,0,0,0,0.009373,0.009373,0.009373
21,1.8803,1.4469,1.2829,0.4861,0.35906,0.35878,0.21661,0,0,0,0.00934,0.00934,0.00934
22,1.8697,1.4309,1.2786,0.49261,0.36852,0.36594,0.22114,0,0,0,0.009307,0.009307,0.009307
23,1.8546,1.4093,1.2694,0.49092,0.3705,0.36382,0.22031,0,0,0,0.009274,0.009274,0.009274
24,1.8459,1.3967,1.2687,0.49779,0.37519,0.36883,0.22345,0,0,0,0.009241,0.009241,0.009241
25,1.8349,1.3889,1.2681,0.48691,0.37636,0.37152,0.22443,0,0,0,0.009208,0.009208,0.009208
26,1.8354,1.3908,1.2675,0.51082,0.38074,0.38029,0.23033,0,0,0,0.009175,0.009175,0.009175
27,1.8325,1.3819,1.2639,0.50505,0.38473,0.38295,0.2318,0,0,0,0.009142,0.009142,0.009142
28,1.8209,1.3747,1.2601,0.50943,0.38247,0.38315,0.23212,0,0,0,0.009109,0.009109,0.009109
29,1.8031,1.3484,1.2561,0.5062,0.39333,0.3858,0.23408,0,0,0,0.009076,0.009076,0.009076
30,1.8095,1.3572,1.2557,0.51938,0.39236,0.39089,0.23868,0,0,0,0.009043,0.009043,0.009043
31,1.8002,1.3365,1.2556,0.52646,0.38744,0.39272,0.24025,0,0,0,0.00901,0.00901,0.00901
32,1.7838,1.3279,1.2543,0.50829,0.39163,0.3963,0.24129,0,0,0,0.008977,0.008977,0.008977
33,1.7929,1.3342,1.2516,0.52609,0.39271,0.40036,0.24523,0,0,0,0.008944,0.008944,0.008944
34,1.7832,1.3179,1.2478,0.53055,0.39924,0.40415,0.24756,0,0,0,0.008911,0.008911,0.008911
35,1.7883,1.3224,1.2484,0.53881,0.39429,0.4021,0.24563,0,0,0,0.008878,0.008878,0.008878
36,1.7672,1.3064,1.2466,0.53206,0.40641,0.41136,0.25158,0,0,0,0.008845,0.008845,0.008845
37,1.7598,1.2981,1.2465,0.54535,0.39439,0.40749,0.25036,0,0,0,0.008812,0.008812,0.008812
38,1.7583,1.2963,1.243,0.54451,0.39858,0.41082,0.25114,0,0,0,0.008779,0.008779,0.008779
39,1.7504,1.2865,1.2428,0.5323,0.40621,0.40853,0.25161,0,0,0,0.008746,0.008746,0.008746
40,1.7443,1.2786,1.2398,0.54743,0.40522,0.41236,0.25407,0,0,0,0.008713,0.008713,0.008713
41,1.7425,1.2717,1.2352,0.54307,0.41142,0.41708,0.25481,0,0,0,0.00868,0.00868,0.00868
42,1.735,1.2643,1.2327,0.54347,0.41412,0.41956,0.25928,0,0,0,0.008647,0.008647,0.008647
43,1.7276,1.2609,1.2303,0.5484,0.40592,0.41702,0.25662,0,0,0,0.008614,0.008614,0.008614
44,1.7442,1.2684,1.2369,0.55986,0.40552,0.41791,0.25752,0,0,0,0.008581,0.008581,0.008581
45,1.7335,1.2477,1.2309,0.55277,0.41261,0.42193,0.26049,0,0,0,0.008548,0.008548,0.008548
46,1.7279,1.2503,1.2315,0.54969,0.41498,0.42112,0.25959,0,0,0,0.008515,0.008515,0.008515
47,1.726,1.2456,1.2314,0.55929,0.41353,0.42618,0.26184,0,0,0,0.008482,0.008482,0.008482
48,1.7211,1.2394,1.2335,0.56776,0.41149,0.42784,0.26398,0,0,0,0.008449,0.008449,0.008449
49,1.712,1.2301,1.228,0.56113,0.41521,0.42679,0.26375,0,0,0,0.008416,0.008416,0.008416
50,1.7214,1.2324,1.2255,0.56423,0.41529,0.42894,0.26514,0,0,0,0.008383,0.008383,0.008383
51,1.7036,1.2238,1.2274,0.5688,0.41821,0.4322,0.26834,0,0,0,0.00835,0.00835,0.00835
52,1.7065,1.2195,1.2247,0.575,0.4115,0.43014,0.26583,0,0,0,0.008317,0.008317,0.008317
53,1.7051,1.2229,1.226,0.57227,0.4185,0.43186,0.26746,0,0,0,0.008284,0.008284,0.008284
54,1.7084,1.225,1.2258,0.57259,0.4171,0.43562,0.26918,0,0,0,0.008251,0.008251,0.008251
55,1.6883,1.2102,1.2254,0.57206,0.4183,0.43464,0.26896,0,0,0,0.008218,0.008218,0.008218
56,1.6889,1.2032,1.2233,0.56706,0.42177,0.43642,0.26946,0,0,0,0.008185,0.008185,0.008185
57,1.7002,1.2109,1.2215,0.57321,0.42353,0.44056,0.27279,0,0,0,0.008152,0.008152,0.008152
58,1.6905,1.2107,1.22,0.5762,0.42398,0.43734,0.27101,0,0,0,0.008119,0.008119,0.008119
59,1.6842,1.1985,1.2215,0.5697,0.42591,0.43944,0.27282,0,0,0,0.008086,0.008086,0.008086
60,1.675,1.1922,1.2195,0.57344,0.42253,0.43936,0.2715,0,0,0,0.008053,0.008053,0.008053
61,1.6932,1.202,1.2223,0.569,0.42651,0.43928,0.27207,0,0,0,0.00802,0.00802,0.00802
62,1.684,1.1914,1.2211,0.5805,0.42555,0.44201,0.27466,0,0,0,0.007987,0.007987,0.007987
63,1.6732,1.1895,1.2224,0.57167,0.43065,0.4448,0.27645,0,0,0,0.007954,0.007954,0.007954
64,1.6584,1.1756,1.217,0.58912,0.42506,0.44437,0.2761,0,0,0,0.007921,0.007921,0.007921
65,1.6728,1.1787,1.2175,0.57726,0.42618,0.44333,0.27554,0,0,0,0.007888,0.007888,0.007888
66,1.6683,1.1868,1.2129,0.57886,0.42987,0.44729,0.27693,0,0,0,0.007855,0.007855,0.007855
67,1.6708,1.1805,1.211,0.5678,0.43615,0.44775,0.27741,0,0,0,0.007822,0.007822,0.007822
68,1.6649,1.1724,1.2182,0.57613,0.43411,0.44873,0.27837,0,0,0,0.007789,0.007789,0.007789
69,1.6619,1.1768,1.2169,0.58116,0.43478,0.4502,0.27919,0,0,0,0.007756,0.007756,0.007756
70,1.6666,1.1685,1.215,0.58238,0.43692,0.45205,0.28066,0,0,0,0.007723,0.007723,0.007723
71,1.6573,1.1659,1.2133,0.57494,0.43605,0.44962,0.27923,0,0,0,0.00769,0.00769,0.00769
72,1.6554,1.1626,1.2093,0.5744,0.43538,0.45168,0.28017,0,0,0,0.007657,0.007657,0.007657
73,1.6513,1.1553,1.2091,0.57646,0.43661,0.45054,0.2798,0,0,0,0.007624,0.007624,0.007624
74,1.6501,1.1577,1.2053,0.58139,0.43882,0.45283,0.28204,0,0,0,0.007591,0.007591,0.007591
75,1.6478,1.1508,1.2102,0.58012,0.43731,0.45538,0.28293,0,0,0,0.007558,0.007558,0.007558
76,1.6445,1.1469,1.2081,0.58732,0.43922,0.45733,0.28381,0,0,0,0.007525,0.007525,0.007525
